idlojista,idsku,lojista,cluster,mundo,idcompra,qtd_sku,qtd_pedidos_colocados,qtd_itens_colocados,qtd_itens_aprovados,qtd_pedidos_aprovados,valorcolocado,valoraprovado,taxa_aprovacao
30976,12466413,10Estrela,AAA,Móveis,226744367,8,8,8,6,6,1408.3600,1066.3200,0.75713596
30976,12570804,10Estrela,AAA,Móveis,227626560,2,2,2,1,1,433.2800,216.6400,0.50000000
30976,12699726,10Estrela,AAA,Móveis,227362780,1,1,1,1,1,432.8800,432.8800,1.00000000
30976,1500240239,10Estrela,AAA,Móveis,229334750,1,1,1,1,1,1478.2500,1478.2500,1.00000000
30976,1502733595,10Estrela,AAA,Móveis,228900377,2,2,2,2,2,675.8300,675.8300,1.00000000
30976,1503013065,10Estrela,AAA,Móveis,228574281,1,1,1,1,1,94.8700,94.8700,1.00000000
30976,1503482417,10Estrela,AAA,Móveis,225714774,1,1,1,1,1,415.8000,415.8000,1.00000000
30976,1504005945,10Estrela,AAA,Móveis,229124069,10,10,10,9,9,4018.7200,3607.5200,0.89767886
30976,1504148431,10Estrela,AAA,Móveis,228712066,3,3,3,1,1,1007.1300,337.9000,0.33550783
30976,1504432935,10Estrela,AAA,Móveis,229326744,1,1,1,1,1,295.9400,295.9400,1.00000000
30976,1504442750,10Estrela,AAA,Móveis,228779330,1,1,1,1,1,489.3900,489.3900,1.00000000
10138,1504611132,MegaMamute,AAA,Tecnologia,228466486,11,11,11,3,3,16927.5200,4585.2400,0.27087488
30976,2213813,10Estrela,AAA,Móveis,226808561,2,2,2,2,2,412.9700,412.9700,1.00000000
30976,2437761,10Estrela,AAA,Móveis,225754376,3,2,3,3,2,527.4300,527.4300,1.00000000
30976,6688683,10Estrela,AAA,Móveis,227811353,1,1,1,1,1,142.1300,142.1300,1.00000000
30976,7530666,10Estrela,AAA,Móveis,227952757,1,1,1,1,1,301.8000,301.8000,1.00000000
30976,12912422,10Estrela,AAA,Móveis,227769672,3,3,3,1,1,1246.7300,453.4900,0.36374355
30976,12923315,10Estrela,AAA,Móveis,226678726,4,4,4,2,2,1167.2700,575.1000,0.49268807
30976,13418052,10Estrela,AAA,Móveis,227350780,2,2,2,1,1,1122.6100,568.3600,0.50628446
30976,13876535,10Estrela,AAA,Móveis,227876393,1,1,1,1,1,155.2800,155.2800,1.00000000
30976,14231056,10Estrela,AAA,Móveis,228792966,1,1,1,1,1,333.8900,333.8900,1.00000000
30976,14944048,10Estrela,AAA,Móveis,227680435,2,2,2,1,1,1295.9900,677.7400,0.52295157
30976,14945268,10Estrela,AAA,Móveis,228020429,1,1,1,0,0,90.5600,0.0000,0E-8
30976,15143906,10Estrela,AAA,Móveis,227586890,1,1,1,1,1,1489.0200,1489.0200,1.00000000
10138,1500450542,MegaMamute,AAA,Tecnologia,229670435,7,5,7,7,5,1419.7600,1419.7600,1.00000000
10138,1501582327,MegaMamute,AAA,Tecnologia,228780748,45,43,45,9,9,49849.3600,9932.3500,0.19924729
10138,1504619933,MegaMamute,AAA,Tecnologia,226594748,2,2,2,0,0,926.9200,0.0000,0E-8
10138,1504643436,MegaMamute,AAA,Tecnologia,228150673,4,4,4,2,2,1172.0700,558.7800,0.47674627
30976,21711,10Estrela,AAA,Móveis,228889623,1,1,1,0,0,68.4400,0.0000,0E-8
30976,47241,10Estrela,AAA,Móveis,225982369,3,3,3,2,2,185.3700,118.1900,0.63758969
30976,11527272,10Estrela,AAA,Móveis,227346185,16,16,16,14,14,6723.3100,5871.5300,0.87330943
30976,11980820,10Estrela,AAA,Móveis,225533603,3,3,3,3,3,302.8000,302.8000,1.00000000
30976,12841134,10Estrela,AAA,Móveis,227638567,12,12,12,10,10,3172.9000,2634.0800,0.83018059
30976,14944494,10Estrela,AAA,Móveis,226360616,1,1,1,0,0,635.8700,0.0000,0E-8
30976,1500080094,10Estrela,AAA,Móveis,225442496,1,1,1,1,1,161.0000,161.0000,1.00000000
30976,1500865554,10Estrela,AAA,Móveis,225385443,1,1,1,1,1,262.7100,262.7100,1.00000000
10138,1500374520,MegaMamute,AAA,Tecnologia,225386423,390,374,390,232,219,729797.7700,433559.8600,0.59408219
10138,1500374522,MegaMamute,AAA,Tecnologia,225701461,3,3,3,2,2,12303.8300,8192.4800,0.66584795
10138,1501137206,MegaMamute,AAA,Tecnologia,229153957,26,26,26,24,24,56984.7200,52593.7800,0.92294531
10138,1504643212,MegaMamute,AAA,Tecnologia,228179272,1,1,1,1,1,151.9900,151.9900,1.00000000
30976,2437779,10Estrela,AAA,Móveis,229061349,1,1,1,0,0,462.9000,0.0000,0E-8
30976,3999332,10Estrela,AAA,Móveis,227356161,1,1,1,1,1,316.3200,316.3200,1.00000000
30976,11498620,10Estrela,AAA,Móveis,226269639,1,1,1,0,0,356.9800,0.0000,0E-8
30976,12053833,10Estrela,AAA,Móveis,227817062,1,1,1,1,1,239.9000,239.9000,1.00000000
30976,12719318,10Estrela,AAA,Móveis,226198507,1,1,1,0,0,76.2500,0.0000,0E-8
30976,13253538,10Estrela,AAA,Móveis,228818498,4,4,4,0,0,1193.6500,0.0000,0E-8
30976,13483796,10Estrela,AAA,Móveis,225700342,20,20,20,18,18,5221.6100,4669.1800,0.89420313
30976,1500785443,10Estrela,AAA,Móveis,229299253,2,2,2,1,1,536.3500,290.7100,0.54201547
30976,1500943759,10Estrela,AAA,Móveis,229571522,1,1,1,1,1,114.9000,114.9000,1.00000000
30976,1501539967,10Estrela,AAA,Móveis,226634037,2,1,2,2,1,174.4000,174.4000,1.00000000
30976,1504010491,10Estrela,AAA,Móveis,229676986,1,1,1,1,1,183.7700,183.7700,1.00000000
10138,1502859587,MegaMamute,AAA,Tecnologia,227113127,21,21,21,18,18,26471.7300,22740.7300,0.85905719
30976,5110408,10Estrela,AAA,Móveis,227341361,1,1,1,0,0,46771.9200,0.0000,0E-8
30976,8589191,10Estrela,AAA,Móveis,229521500,2,2,2,0,0,2237.5600,0.0000,0E-8
30976,11980301,10Estrela,AAA,Móveis,227843725,1,1,1,1,1,72.2100,72.2100,1.00000000
30976,12514862,10Estrela,AAA,Móveis,225785435,2,2,2,2,2,825.8800,825.8800,1.00000000
30976,12842279,10Estrela,AAA,Móveis,225928181,9,8,9,9,8,939.2600,939.2600,1.00000000
30976,13335203,10Estrela,AAA,Móveis,227559201,1,1,1,1,1,231.9000,231.9000,1.00000000
10138,11628960,MegaMamute,AAA,Tecnologia,227451607,2,2,2,1,1,640.3300,316.5300,0.49432324
10138,15411600,MegaMamute,AAA,Tecnologia,226558618,2,2,2,1,1,1900.5800,972.5600,0.51171748
10138,1500509518,MegaMamute,AAA,Tecnologia,225656928,34,34,34,11,11,80754.0000,26125.0700,0.32351425
10138,1504643347,MegaMamute,AAA,Tecnologia,226612056,9,9,9,4,4,14343.4500,6363.4600,0.44364919
30976,5416970,10Estrela,AAA,Móveis,225723259,1,1,1,1,1,48.5600,48.5600,1.00000000
30976,7907650,10Estrela,AAA,Móveis,226333679,1,1,1,1,1,295.9000,295.9000,1.00000000
30976,9051211,10Estrela,AAA,Móveis,226820792,1,1,1,1,1,40.8000,40.8000,1.00000000
30976,10515756,10Estrela,AAA,Móveis,229178943,2,2,2,1,1,1980.5700,991.4900,0.50060841
30976,11979881,10Estrela,AAA,Móveis,229266832,1,1,1,1,1,103.5200,103.5200,1.00000000
30976,12562414,10Estrela,AAA,Móveis,227518700,1,1,1,1,1,58.8900,58.8900,1.00000000
30976,13177433,10Estrela,AAA,Móveis,226947288,1,1,1,0,0,168.9000,0.0000,0E-8
30976,1500346831,10Estrela,AAA,Móveis,225701428,1,1,1,1,1,99.9000,99.9000,1.00000000
30976,1500590755,10Estrela,AAA,Móveis,225814541,5,5,5,2,2,3131.9500,1265.2500,0.40398155
30976,1501056426,10Estrela,AAA,Móveis,227292513,1,1,1,1,1,97.2200,97.2200,1.00000000
10138,1504643627,MegaMamute,AAA,Tecnologia,227621409,1,1,1,0,0,457.1300,0.0000,0E-8
30976,3840338,10Estrela,AAA,Móveis,229468780,1,1,1,0,0,94.5400,0.0000,0E-8
30976,7486956,10Estrela,AAA,Móveis,228487168,1,1,1,0,0,2753.3400,0.0000,0E-8
30976,10541008,10Estrela,AAA,Móveis,227107115,1,1,1,0,0,151.6000,0.0000,0E-8
30976,11513175,10Estrela,AAA,Móveis,226641861,3,3,3,2,2,537.9500,356.0900,0.66193884
30976,11769685,10Estrela,AAA,Móveis,227567512,2,2,2,2,2,2955.0200,2955.0200,1.00000000
30976,12160539,10Estrela,AAA,Móveis,228048872,1,1,1,0,0,10068.9000,0.0000,0E-8
30976,14944621,10Estrela,AAA,Móveis,227333158,8,8,8,8,8,5468.3700,5468.3700,1.00000000
30976,1502738201,10Estrela,AAA,Móveis,229563124,35,35,35,29,29,27628.5300,22780.1400,0.82451509
30976,1502961827,10Estrela,AAA,Móveis,227726024,1,1,1,1,1,279.5400,279.5400,1.00000000
10138,2436571,MegaMamute,AAA,Tecnologia,229624862,14,14,14,12,12,7850.2100,6779.8900,0.86365715
10138,13943821,MegaMamute,AAA,Tecnologia,225524457,1,1,1,1,1,943.9200,943.9200,1.00000000
10138,15341370,MegaMamute,AAA,Tecnologia,228904011,6,6,6,1,1,16692.1600,2922.5500,0.17508519
10138,1502805552,MegaMamute,AAA,Tecnologia,228913216,1,1,1,1,1,3506.3400,3506.3400,1.00000000
30976,7683855,10Estrela,AAA,Móveis,225614891,1,1,1,1,1,712.7100,712.7100,1.00000000
30976,9029885,10Estrela,AAA,Móveis,227318620,3,3,3,2,2,230.7100,148.2000,0.64236487
30976,11253713,10Estrela,AAA,Móveis,225393005,1,1,1,1,1,102.1700,102.1700,1.00000000
