ID Loja;Lojista;Cluster;Mundo;Responsável
14207;DT Eletrônicos;AA;Tecnologia;Ana pontes
14201;Oficina dos Bits;AAA;Tecnologia;Ana pontes
14268;LavinnHair;A;Cauda Longa;Ana Pontes
14314;Shop Boss;A;Cauda Longa;Suporte
14370;LENDEX;A;Cauda Longa;Suporte
14063;Magoo Baby;A;Cauda Longa;Suporte
14115;Dourados Enxovais;AAA;Cauda Longa;Paloma
14424;Global Importados;A;Cauda Longa;Suporte
14108;Demeo;A;Cauda Longa;Suporte
14527;Loja da Maria;A;Cauda Longa;Ana Pontes
14225;Ribershop;A;Cauda Longa;Suporte
10141;Complete O Carro;A;Cauda Longa;Ana Pontes
11514;Empório Duda Batista;A;Cauda Longa;Suporte
10117;"D&Oacute;KE";A;Móveis;Suporte
10093;SANDROMOSCOLONI;A;Cauda Longa;Suporte
10312;Elitize;A;Cauda Longa;Ana Pontes
10447;Dog Loja;A;Cauda Longa;Suporte
10002;MEUAMIGOPET;A;Cauda Longa;Suporte
10166;Pró Spin;A;Cauda Longa;Suporte
11054;Treino e Corrida;A;Cauda Longa;Ana Pontes
10406;Central Cabos;A;Tecnologia;Suporte
10374;Allodi;A;Cauda Longa;Ana Pontes
11354;4lifeStore;A;Tecnologia;Suporte
11694;Na Mordomia Perfumes;A;Cauda Longa;Ana Pontes
10118;DOMGATO;A;Cauda Longa;Ana Pontes
10015;QUECOZINHA;A;Cauda Longa;Suporte
10161;Decor Capas;A;Cauda Longa;Ana Pontes
10959;Mundo do Lazer;A;Cauda Longa;Suporte
11227;Zona Criativa;A;Cauda Longa;Ana Pontes
10444;Mash;AAA;Cauda Longa;Suporte
10700;Geração Pet;A;Cauda Longa;Suporte
11000;Joia em Casa;A;Cauda Longa;Suporte
10468;Starblock;A;Cauda Longa;Suporte
10787;Dr Lux;A;Cauda Longa;Ana Pontes
10193;"Marca F&aacute;cil e Vinela";A;Cauda Longa;Ana Pontes
10103;SOFTWARESTORE;A;Tecnologia;Ana pontes
11819;Lumus Online;A;Cauda Longa;Suporte
11519;Linara Banho;A;Cauda Longa;Ana Pontes
10464;Star Mobile;A;Cauda Longa;Ana Pontes
11245;Safetron;A;Cauda Longa;Suporte
11419;VIDEOFOTO;A;Tecnologia;Ana pontes
10032;OBOTOPESCAESPORTIVA;A;Cauda Longa;Ana Pontes
11134;Relogios Oversized;A;Cauda Longa;Suporte
10910;Pontto Lavabo;A;Cauda Longa;Ana Pontes
10806;Todovino;A;Cauda Longa;Suporte
10192;NETBABYS;A;Cauda Longa;Ana Pontes
10070;MARCYN;A;Cauda Longa;Suporte
10385;Dieta Dukan;A;Cauda Longa;Suporte
10918;SunJohn;A;Cauda Longa;Suporte
11453;Blitzart;A;Cauda Longa;Ana Pontes
10442;Bud Decor;A;Cauda Longa;Suporte
10858;Lefine;A;Cauda Longa;Ana Pontes
10053;JOIASBRASIL;A;Cauda Longa;Suporte
10730;Redes de Dormir;A;Cauda Longa;Ana Pontes
10005;Le Postiche;A;Cauda Longa;Suporte
11310;Net System Shop;A;Cauda Longa;Ana Pontes
